# ma = 106.0
# mb = 750.617670528
# m1 = 0.511
# m2 = 750.617670528
# pFa = 162.00027388109442
# pFb = 225.7671563397886
# pF1 = 193.5970754338753
# pF2 = 225.76715633978853
# mu_a = 193.59774982563616
# mu_b = 783.835248116998
# mu_1 = 193.59774982563616
# mu_2 = 783.835248116998
# T = 0.0861733
# beta_F_mu = 0.836788
# n = 10
# neval = 50000000
# Columns:m3,emissivity (ergs/cm^3/s),error
0.000000000000000000e+00,2.008758399620412827e+10,9.579807449394175410e+07
5.000000000000000000e-01,1.220773158551884460e+10,8.325369287075443566e+07
1.000000000000000000e+00,1.135605824370460272e+09,1.027005046876189858e+07
1.500000000000000000e+00,2.841042924891303852e+07,2.679207314019572805e+05
2.000000000000000000e+00,3.184199624832213158e+05,3.119890821236142983e+03
2.500000000000000000e+00,2.290672889599202790e+03,2.193950028502815996e+01
3.000000000000000000e+00,1.379753888815406704e+01,1.400799019989877048e-01
3.500000000000000000e+00,7.173329158932086058e-02,8.366411973205770342e-04
4.000000000000000000e+00,2.849125573914397113e-04,3.508555653693933992e-06
4.500000000000000000e+00,7.017333178804287428e-07,1.055376886615508850e-08
5.000000000000000000e+00,6.665440946866713235e-10,1.189158612299034774e-11
5.500000000000000000e+00,7.265085799716790901e-14,1.608024353029272667e-15
6.000000000000000000e+00,0.000000000000000000e+00,9.999999999999999259e-130
