# ma = 106.0
# mb = 750.617670528
# m1 = 0.511
# m2 = 750.617670528
# pFa = 162.00027388109442
# pFb = 225.7671563397886
# pF1 = 193.5970754338753
# pF2 = 225.76715633978853
# mu_a = 193.59774982563616
# mu_b = 783.835248116998
# mu_1 = 193.59774982563616
# mu_2 = 783.835248116998
# T = 0.0861733
# beta_F_mu = 0.836788
# n = 10
# neval = 1000000
# Columns:m3,emissivity (ergs/cm^3/s),error
0.000000000000000000e+00,1.858119680523614120e+10,6.530300545835477114e+08
0.000000000000000000e+00,1.946586950531170654e+10,6.895676267883180380e+08
0.000000000000000000e+00,1.888159480032735825e+10,6.477775388299604654e+08
5.000000000000000278e-02,1.865263112893484116e+10,6.857084053962886333e+08
1.000000000000000056e-01,2.015423599564249420e+10,7.805732549278848171e+08
1.000000000000000056e-01,1.946560358885182571e+10,7.889290583029748201e+08
1.500000000000000222e-01,1.816160163060868835e+10,6.603444039199115038e+08
2.000000000000000111e-01,1.770150473234219742e+10,7.029752447317184210e+08
2.154434690031883370e-01,1.655443398473457718e+10,6.334989787711316347e+08
2.500000000000000000e-01,1.817586307088631821e+10,7.701379238625613451e+08
2.500000000000000000e-01,1.938150566300784683e+10,8.362266100113145113e+08
3.000000000000000444e-01,1.600995047083075905e+10,6.263957217522093058e+08
3.500000000000000333e-01,1.808476016763967514e+10,9.660571365842721462e+08
4.000000000000000222e-01,1.576362635841275024e+10,8.688760632412366867e+08
4.500000000000000111e-01,1.238759794580005836e+10,5.491736379008922577e+08
4.641588833612778631e-01,1.087729019838714600e+10,4.993552607590157986e+08
5.000000000000000000e-01,1.037194926591089439e+10,4.712707586858160496e+08
5.000000000000000000e-01,1.040972640946298409e+10,4.538256115132257342e+08
5.500000000000000444e-01,9.745410840704919815e+09,4.672991256863969564e+08
6.000000000000000888e-01,7.846113099472497940e+09,3.874897393755056262e+08
6.500000000000000222e-01,5.960511687497777939e+09,2.790631781449021697e+08
7.000000000000000666e-01,4.764431992084362984e+09,2.232393208884378374e+08
7.500000000000000000e-01,4.172479049720251560e+09,2.255767064197147191e+08
7.500000000000000000e-01,4.124513691870021820e+09,2.199391645093933642e+08
8.000000000000000444e-01,2.936820666207396030e+09,1.635669607206315100e+08
8.500000000000000888e-01,2.262374649225098133e+09,1.088769795700835437e+08
9.000000000000000222e-01,1.835115059693762302e+09,1.125266922344903350e+08
