# ma = 0.511
# mb = 106.0
# m1 = 106.0
# m2 = 106.0
# pFa = 193.5970754338753
# pFb = 162.00027388109442
# pF1 = 162.00027388109442
# pF2 = 162.00027388109442
# mu_a = 193.59774982563616
# mu_b = 193.59774982563616
# mu_1 = 193.59774982563616
# mu_2 = 193.59774982563616
# beta_F_mu = 0.836788
# n = 10
# m3 = 0
# neval = 1000000
# Columns:T / 10^9 K,emissivity (ergs/cm^3/s),error
1.000000000000000021e-02,4.188807747944214062e-09,1.347699006963188923e-09
1.000000000000000056e-01,6.445676603425606110e+00,8.388969624985784801e-01
1.000000000000000000e+00,1.152420850457845449e+09,6.899491646581593156e+07
1.000000000000000000e+01,1.190478526770342080e+17,2.029639049801668250e+15
1.000000000000000000e+02,1.266907621601592552e+25,9.245843061308687122e+22
1.000000000000000000e+03,2.129867297487014761e+32,3.827886106571612556e+30
1.000000000000000000e+04,5.709508412785659437e+41,3.692746522147774151e+40
