# ma = 0.511
# mb = 750.617670528
# m1 = 106.0
# m2 = 750.617670528
# pFa = 193.5970754338753
# pFb = 225.7671563397886
# pF1 = 162.00027388109442
# pF2 = 225.76715633978853
# mu_a = 193.59774982563616
# mu_b = 783.835248116998
# mu_1 = 193.59774982563616
# mu_2 = 783.835248116998
# T = 0.0861733
# beta_F_mu = 0.836788
# n = 10
# neval = 1000000
# Columns:m3,emissivity (ergs/cm^3/s),error
2.250000000000000000e+00,1.878787890473381412e+04,9.562030440649352840e+02
2.500000000000000000e+00,1.514659580357876621e+03,7.864017947620921234e+01
2.750000000000000000e+00,1.290641353680831855e+02,6.470779736874670007e+00
3.000000000000000000e+00,1.023211329738258968e+01,5.708969411616904299e-01
3.250000000000000000e+00,8.096579818690075037e-01,4.255553990181096258e-02
3.500000000000000000e+00,5.206532896911227060e-02,2.495650958552595670e-03
3.750000000000000000e+00,3.573209226236647839e-03,2.026876682518583147e-04
4.000000000000000000e+00,2.183862867951180827e-04,1.220779223772684399e-05
4.250000000000000000e+00,1.143431740678748122e-05,6.219721707717033298e-07
4.500000000000000000e+00,4.529200402192729490e-07,3.089670204624823677e-08
4.641588833612777520e+00,6.722413689923240875e-08,4.168851854912345970e-09
4.750000000000000000e+00,1.638520178265259214e-08,1.136423279496141357e-09
5.000000000000000000e+00,4.431707516617982117e-10,3.190547290751110068e-11
5.250000000000000000e+00,5.666778178192313308e-12,4.706265677206424137e-13
5.500000000000000000e+00,1.687793231936084881e-14,2.391030010108774178e-15
5.750000000000000000e+00,0.000000000000000000e+00,9.999999999999999259e-130
6.000000000000000000e+00,0.000000000000000000e+00,9.999999999999999259e-130
6.250000000000000000e+00,0.000000000000000000e+00,9.999999999999999259e-130
6.500000000000000000e+00,0.000000000000000000e+00,9.999999999999999259e-130
6.750000000000000000e+00,0.000000000000000000e+00,9.999999999999999259e-130
7.000000000000000000e+00,0.000000000000000000e+00,9.999999999999999259e-130
7.250000000000000000e+00,0.000000000000000000e+00,9.999999999999999259e-130
