# T = 0.0861733
# ma = 0.511
# mb = 750.617670528
# m1 = 106.0
# m2 = 750.617670528
# m3 = 0
# pFa = 105.99876829001364
# pFb = 105.99876829001362
# pF1 = 0.0
# pF2 = 105.99876829001342
# mu_a = 106.0
# mu_b = 758.0650540605873
# mu_1 = 106.0
# mu_2 = 758.0650540605873
# neval = 10000000
# n = 10
# Columns:beta_F_mu,emissivity (ergs/cm^3/s),error
0.000000000000000000e+00,5.473193162707693875e+07,4.329044731401700847e+04
2.435897435897435917e-02,6.808730842713309824e+07,5.392722265417246672e+04
4.871794871794871834e-02,1.178115302317747623e+08,9.366327082563376462e+04
7.307692307692308098e-02,2.187146154516882002e+08,1.749738882579180354e+05
9.743589743589743668e-02,3.553530984744906425e+08,2.874328528553383076e+05
1.217948717948717924e-01,4.982756197488544583e+08,4.083776089978018426e+05
1.461538461538461620e-01,6.324047567337629795e+08,5.248978119688713923e+05
1.705128205128205177e-01,7.631917925377187729e+08,6.408804618908590637e+05
1.948717948717948734e-01,8.932575951632183790e+08,7.619986444121917011e+05
2.192307692307692291e-01,1.026919229987270951e+09,8.907757037117696600e+05
2.435897435897435848e-01,1.163948758717017651e+09,1.027688517274607322e+06
2.679487179487179405e-01,1.305834318415994644e+09,1.177711890737917274e+06
2.923076923076923239e-01,1.453021112536805391e+09,1.341180864296291722e+06
3.166666666666666519e-01,1.615096334064368248e+09,1.531072230066612363e+06
3.410256410256410353e-01,1.779679506939476013e+09,1.735411282845806563e+06
3.653846153846153633e-01,1.952764533159884930e+09,1.965437222413642565e+06
3.897435897435897467e-01,2.142981485345046282e+09,2.236558877068272326e+06
4.141025641025641302e-01,2.344920286868234634e+09,2.535007943829426542e+06
4.384615384615384581e-01,2.572016356332924366e+09,2.913913291503887158e+06
4.628205128205128416e-01,2.809175152448863506e+09,3.328382991489120293e+06
4.871794871794871695e-01,3.072723751515830040e+09,3.845698761008543894e+06
5.115384615384614975e-01,3.362199615871486187e+09,4.429318208506492898e+06
5.358974358974358809e-01,3.679047838153965473e+09,5.142859359135892242e+06
5.602564102564102644e-01,4.050515960712921619e+09,6.067135200438421220e+06
5.846153846153846478e-01,4.451292135599313736e+09,7.172900573246804066e+06
6.089743589743590313e-01,4.916496594631941795e+09,8.533322545221677050e+06
6.333333333333333037e-01,5.459075957898066521e+09,1.037544239627563953e+07
6.576923076923076872e-01,6.090353621509150505e+09,1.274362259863942116e+07
6.820512820512820706e-01,6.854791579314172745e+09,1.589754838890216500e+07
7.064102564102564541e-01,7.744590257284919739e+09,2.001276461396654323e+07
7.307692307692307265e-01,8.847322250443206787e+09,2.574906981885688379e+07
7.551282051282051100e-01,1.022392164195847130e+10,3.416826203529452533e+07
7.794871794871794934e-01,1.200338717238298988e+10,4.637671923276628554e+07
8.038461538461538769e-01,1.425301591507275200e+10,6.436747951957535744e+07
8.282051282051282604e-01,1.760903946980189133e+10,9.583271006652039289e+07
8.525641025641025328e-01,2.222200429079576111e+10,1.527867567329892516e+08
8.769230769230769162e-01,2.917600783129375839e+10,2.492098888321716785e+08
9.012820512820512997e-01,4.175974022938720703e+10,4.799615733520673513e+08
9.256410256410256832e-01,6.485680240345644379e+10,1.008553969852364182e+09
9.499999999999999556e-01,1.236181830388811798e+11,2.863921229571127415e+09
