# ma = 106.0
# mb = 0.511
# m1 = 0.511
# m2 = 0.511
# pFa = 162.00027388109442
# pFb = 162.00027388109442
# pF1 = 162.00027388109442
# pF2 = 193.5970754338753
# mu_a = 193.59774982563616
# mu_b = 193.59774982563616
# mu_1 = 193.59774982563616
# mu_2 = 193.59774982563616
# beta_F_mu = 0.836788
# n = 10
# m3 = 0
# neval = 10000000
# Columns:T / 10^9 K,emissivity (ergs/cm^3/s),error
1.000000000000000021e-02,7.334260615257273326e-08,1.086011536493237246e-08
1.000000000000000021e-02,9.252856631368149451e-08,1.286310806446037241e-08
1.000000000000000056e-01,1.317843675555334038e+01,7.972501496811338351e-01
1.000000000000000000e+00,1.496076423117122173e+09,3.333917084570890293e+07
1.000000000000000000e+01,5.322103790564852736e+18,1.385147726304347904e+18
1.000000000000000000e+02,1.141740164485769408e+29,2.460170364241455053e+28
1.000000000000000000e+03,8.741639163483525862e+35,1.395527103793845566e+35
1.000000000000000000e+04,1.257167665770544069e+44,2.987225204546879404e+43
