# ma = 106.0
# mb = 0.511
# m1 = 0.511
# m2 = 0.511
# pFa = 162.00027388109442
# pFb = 162.00027388109442
# pF1 = 162.00027388109442
# pF2 = 193.5970754338753
# mu_a = 193.59774982563616
# mu_b = 193.59774982563616
# mu_1 = 193.59774982563616
# mu_2 = 193.59774982563616
# T = 3.999810270355639
# beta_F_mu = 0.836788
# m3 = 0
# neval = 500000
# Columns:n,emissivity (ergs/cm^3/s),error
1.500000000000000000e+01,1.110806525283377820e+22,4.599781340812966298e+19
1.500000000000000000e+01,1.104762202641250910e+22,4.698456554661806080e+19
1.500000000000000000e+01,1.095120828372511569e+22,4.306181552287684198e+19
1.500000000000000000e+01,1.112961620812488298e+22,4.661152472455228621e+19
1.500000000000000000e+01,1.103243705611887575e+22,4.297123096929243955e+19
1.500000000000000000e+01,1.104150369401878820e+22,4.225167862125907968e+19
1.500000000000000000e+01,1.106345998806147714e+22,4.768418417784612454e+19
1.500000000000000000e+01,1.103919435707286186e+22,4.446904680099956326e+19
1.500000000000000000e+01,1.107061537824668071e+22,4.631442353248700826e+19
1.500000000000000000e+01,1.094168809941945968e+22,4.200395311339261952e+19
1.500000000000000000e+01,1.094888165613463876e+22,4.170991301431787520e+19
1.500000000000000000e+01,1.096373202193327797e+22,4.185091979720531968e+19
1.500000000000000000e+01,1.100510995856266730e+22,4.609517952014461338e+19
2.000000000000000000e+01,1.105718612171687985e+22,4.754503122901527757e+19
2.000000000000000000e+01,1.105449625234179097e+22,4.737046404667319091e+19
2.000000000000000000e+01,1.108951368038041938e+22,4.628167088455236813e+19
2.000000000000000000e+01,1.109313328312836791e+22,4.859708517347246899e+19
2.000000000000000000e+01,1.093701702819503093e+22,4.162855796102533939e+19
2.000000000000000000e+01,1.102419899048259695e+22,4.352590957408835174e+19
2.000000000000000000e+01,1.108642566213165960e+22,4.838919023249605427e+19
2.000000000000000000e+01,1.106219643054777067e+22,4.725582674317298074e+19
2.000000000000000000e+01,1.096635175814193742e+22,4.611414723472397926e+19
2.000000000000000000e+01,1.105650341789308027e+22,4.518465066573140787e+19
2.000000000000000000e+01,1.108025927307990401e+22,4.924742168902040781e+19
2.000000000000000000e+01,1.102426665006900288e+22,4.533233671685844173e+19
2.000000000000000000e+01,1.094163218830887328e+22,4.274396058437502566e+19
2.000000000000000000e+01,1.104415570299095666e+22,4.462332294602603725e+19
2.000000000000000000e+01,1.102910441247126795e+22,4.475370340729989530e+19
2.000000000000000000e+01,1.108778482698520048e+22,4.763490825724643738e+19
2.500000000000000000e+01,1.103032926012679022e+22,4.731547024312158618e+19
