# ma = 106.0
# mb = 0.511
# m1 = 0.511
# m2 = 0.511
# pFa = 5.306637447810645
# pFb = 5.306637447810595
# pF1 = 5.306637447810595
# pF2 = 106.13151878684535
# mu_a = 106.13274895621288
# mu_b = 106.13274895621288
# mu_1 = 106.13274895621288
# mu_2 = 106.13274895621288
# T = 0.00861733
# n = 10
# m3 = 0
# neval = 20000000
# Columns:beta_F_mu,emissivity (ergs/cm^3/s),error
5.000000000000000278e-02,4.530894113251900113e-02,8.718649193940874184e-04
2.749999999999999667e-01,2.938604362632850076e-01,6.037496228229990297e-03
4.999999999999999445e-01,9.041136575604781234e-01,2.166159529768867456e-02
7.249999999999999778e-01,4.031528693231060778e+00,1.430884460035174166e-01
9.499999999999999556e-01,2.295261580361021458e+02,3.035904980330481351e+01
