# ma = 106.0
# mb = 0.511
# m1 = 0.511
# m2 = 0.511
# pFa = 162.00027388109442
# pFb = 162.00027388109442
# pF1 = 162.00027388109442
# pF2 = 193.5970754338753
# mu_a = 193.59774982563616
# mu_b = 193.59774982563616
# mu_1 = 193.59774982563616
# mu_2 = 193.59774982563616
# beta_F_mu = 0.836788
# n = 10
# m3 = 0
# neval = 5
# Columns:T / 10^9 K,emissivity (ergs/cm^3/s),error
1.000000000000000021e-02,0.000000000000000000e+00,9.999999999999999259e-130
1.000000000000000056e-01,0.000000000000000000e+00,9.999999999999999259e-130
1.000000000000000000e+00,3.389524805692607402e-292,1.054092553389459712e-129
1.000000000000000000e+01,3.524402870269853820e-276,1.054092553389459712e-129
1.000000000000000000e+02,2.738853644723094781e-268,2.236067977499789626e-129
1.000000000000000000e+03,4.978024986479431033e-264,2.236067977499789626e-129
1.000000000000000000e+04,1.762526785611913122e+27,1.086492358546281954e+27
