# ma = 0.511
# mb = 0.511
# m1 = 106.0
# m2 = 0.511
# pFa = 193.5970754338753
# pFb = 193.5970754338753
# pF1 = 162.00027388109442
# pF2 = 193.5970754338753
# mu_a = 193.59774982563616
# mu_b = 193.59774982563616
# mu_1 = 193.59774982563616
# mu_2 = 193.59774982563616
# beta_F_mu = 0.836788
# n = 10
# m3 = 0
# neval = 50000000
# Columns:T / 10^9 K,emissivity (ergs/cm^3/s),error
1.000000000000000021e-02,1.535551068413469358e-07,1.704216233788803697e-08
1.000000000000000056e-01,1.570051184132245226e+01,4.961217273209748702e-01
1.000000000000000000e+00,1.442168301841321945e+09,1.264308922697574273e+07
1.000000000000000000e+01,5.612328715934215680e+17,6.014802249838020000e+16
1.000000000000000000e+02,1.196092383699225469e+29,1.854900141577710525e+28
1.000000000000000000e+03,9.499541241015839070e+35,1.729088262919120938e+35
1.000000000000000000e+04,1.185350478614172982e+44,4.487010629835102265e+43
