# ma = 0.511
# mb = 0.511
# m1 = 106.0
# m2 = 0.511
# pFa = 193.5970754338753
# pFb = 193.5970754338753
# pF1 = 162.00027388109442
# pF2 = 193.5970754338753
# mu_a = 193.59774982563616
# mu_b = 193.59774982563616
# mu_1 = 193.59774982563616
# mu_2 = 193.59774982563616
# T = 0.0861733
# beta_F_mu = 0.836788
# n = 10
# neval = 50000000
# Columns:m3,emissivity (ergs/cm^3/s),error
0.000000000000000000e+00,1.455531493379294872e+09,1.259464087234412320e+07
5.000000000000000000e-01,7.136552950587854385e+08,7.472661603566166013e+06
1.000000000000000000e+00,5.684023880923379213e+07,6.667921294222426368e+05
1.500000000000000000e+00,1.301734741629457101e+06,1.390176835968229170e+04
2.000000000000000000e+00,1.404338546247421255e+04,1.656585347361435083e+02
2.500000000000000000e+00,9.925687268679237718e+01,1.044167723763992583e+00
3.000000000000000000e+00,5.801947864775214292e-01,6.010212217957700519e-03
3.500000000000000000e+00,2.966837859223713826e-03,3.144798398495735623e-05
4.000000000000000000e+00,1.171788225524054526e-05,1.286025585814410434e-07
4.500000000000000000e+00,2.724282991356939324e-08,3.546321359637375260e-10
5.000000000000000000e+00,2.686333384829754133e-11,3.872713046046923955e-13
5.500000000000000000e+00,2.799900412625818506e-15,7.728207669103226651e-17
6.000000000000000000e+00,0.000000000000000000e+00,9.999999999999999259e-130
