# ma = 0.511
# mb = 0.511
# m1 = 106.0
# m2 = 0.511
# pFa = 106.13151878684535
# pFb = 106.13151878684535
# pF1 = 5.306637447810645
# pF2 = 106.13151878684535
# mu_a = 106.13274895621288
# mu_b = 106.13274895621288
# mu_1 = 106.13274895621288
# mu_2 = 106.13274895621288
# T = 0.00861733
# n = 10
# m3 = 0
# neval = 20000000
# Columns:beta_F_mu,emissivity (ergs/cm^3/s),error
5.000000000000000278e-02,4.060831642026727084e-02,6.412129691157895158e-04
2.749999999999999667e-01,2.916754145590582659e-01,4.988583418328552781e-03
4.999999999999999445e-01,9.096966415831901909e-01,1.936755566720622240e-02
7.249999999999999778e-01,4.066448082748574500e+00,1.390990909865329472e-01
9.499999999999999556e-01,2.175885178121599779e+02,2.706704687904633744e+01
