# ma = 0.511
# mb = 0.511
# m1 = 106.0
# m2 = 0.511
# pFa = 106.13151878684535
# pFb = 106.13151878684535
# pF1 = 5.306637447810645
# pF2 = 106.13151878684535
# mu_a = 106.13274895621288
# mu_b = 106.13274895621288
# mu_1 = 106.13274895621288
# mu_2 = 106.13274895621288
# T = 0.0008617329999999999
# n = 10
# m3 = 0
# neval = 10000000
# Columns:beta_F_mu,emissivity (ergs/cm^3/s),error
5.000000000000000278e-02,3.777518197919023005e-10,2.277144510416211099e-11
1.499999999999999944e-01,1.502433520542009596e-09,9.502952164338588372e-11
2.500000000000000000e-01,2.272182529384964957e-09,1.432869280127966530e-10
3.499999999999999778e-01,3.625202014002348872e-09,2.410435296697645654e-10
4.499999999999999556e-01,5.588999855454220083e-09,3.893634785205211247e-10
5.499999999999999334e-01,1.023982074579399270e-08,7.859255748709711258e-10
6.500000000000000222e-01,1.526167773778915016e-08,1.440921099249588741e-09
7.500000000000000000e-01,3.210885381934787653e-08,3.265470163228580834e-09
8.499999999999999778e-01,6.346578935465434564e-08,8.058549372690751052e-09
9.499999999999999556e-01,1.102162946958589870e-07,3.750042552202186395e-08
