# ma = 0.511
# mb = 0.511
# m1 = 106.0
# m2 = 0.511
# pFa = 106.13151878684535
# pFb = 106.13151878684535
# pF1 = 5.306637447810645
# pF2 = 106.13151878684535
# mu_a = 106.13274895621288
# mu_b = 106.13274895621288
# mu_1 = 106.13274895621288
# mu_2 = 106.13274895621288
# T = 0.0008617329999999999
# n = 10
# m3 = 0
# neval = 1000000
# Columns:beta_F_mu,emissivity (ergs/cm^3/s),error
5.000000000000000278e-02,2.899532812521337416e-10,5.400378963977066717e-11
1.499999999999999944e-01,2.143454790163286190e-10,5.836686210126702982e-11
2.500000000000000000e-01,3.765603236372801602e-10,1.296228460138577201e-10
3.499999999999999778e-01,1.140108654779147337e-09,2.330181977438449058e-10
4.499999999999999556e-01,1.881483370137371042e-09,3.948709284137484222e-10
5.499999999999999334e-01,4.242289175502504761e-10,1.363478571242824105e-10
6.500000000000000222e-01,1.124356048970088602e-09,3.563623762991034165e-10
7.500000000000000000e-01,3.400899305828915435e-10,1.107929040652934197e-10
8.499999999999999778e-01,1.110153301787860478e-09,4.421915787973036436e-10
9.499999999999999556e-01,3.175818317042324587e-09,1.278060175306626840e-09
