# T = 0.0861733
# ma = 0.511
# mb = 750.617670528
# m1 = 106.0
# m2 = 750.617670528
# pFa = 193.5970754338753
# pFb = 225.7671563397886
# pF1 = 162.00027388109442
# pF2 = 225.76715633978853
# mu_a = 193.59774982563616
# mu_b = 783.835248116998
# mu_1 = 193.59774982563616
# mu_2 = 783.835248116998
# neval = 10000000n = 10
# Columns:m3,emissivity (ergs/cm^3/s),error
1.000000000000000000e+01,0.000000000000000000e+00,7.071067811865475201e-130
4.000000000000000000e+00,2.354751306119179464e-04,3.149759877807018621e-06
4.052631578947368141e+00,1.278879979321206233e-04,1.858443627429908223e-06
4.105263157894737169e+00,7.032146144816847394e-05,1.042076964951297220e-06
2.725039014929877754e-02,1.920246265953294754e+10,1.151577657430254668e+08
3.076127296371965192e-02,1.900854678866023254e+10,1.112766898203286827e+08
3.472449051790251623e-02,1.891611907572963715e+10,1.121917589127693921e+08
3.919832066605405396e-02,1.891011373827680588e+10,1.097542694636672586e+08
4.424854965824883551e-02,1.894818639057928848e+10,1.122442043767008632e+08
4.994943950632288465e-02,1.877263998496022415e+10,1.084442662797673345e+08
5.638481998314943955e-02,1.894561517996774292e+10,1.117467989460547119e+08
6.364932131279914251e-02,1.881847100835599518e+10,1.094160371301100999e+08
7.184976567790152258e-02,1.885163401925741577e+10,1.115016537968803197e+08
8.110673800588127924e-02,1.901637089904225159e+10,1.127590194242842495e+08
9.155635913198147124e-02,1.905923994374220657e+10,1.127938997277275026e+08
1.033522874128722097e-01,1.881398516244164658e+10,1.107192514405263662e+08
1.166679782239366664e-01,1.903783418050814056e+10,1.128047252638406008e+08
1.316992345654238727e-01,1.898062934594046021e+10,1.123065234320411682e+08
1.486670862833204265e-01,1.903917365850749207e+10,1.161319728332316428e+08
1.678210402429692050e-01,1.868224955495874023e+10,1.118786505237650275e+08
1.894427492482047004e-01,1.877057482922530746e+10,1.136576312750120163e+08
2.138501536562945615e-01,1.830078996768916321e+10,1.108630654563994706e+08
2.414021565898183674e-01,1.789663371480821228e+10,1.103155229356041104e+08
